"";"id";"text";"title";"abstract";"keywords";"methods";"type";"authors";"affiliation";"source";"year";"volume";"issue";"startpage";"endpage";"doi";"language";"database"
"1";"Guan_2017_ChinEconRevi";"This research aims to understand how industrial characteristics in Chinese industrial sectors are related to and affect innovation activities. Using Heckman's two-step procedure, this study contributes to examine firms' innovation determinants with a framework that clearly distinguishes between the two steps of innovation model innovation propensity (probability of being innovative) and innovation performance (patents and innovation sales). In particular, the moderating effects of industrial characteristics on the relationships between R&D intensity, financial incentives and innovation performance are discussed. The findings show that different industrial characteristics generate different impacts on innovation propensity and innovation performance. Firms in capital intensive industries and relative monopoly industries are more likely to innovate. The findings also show that Direct Government Subsidy does not contribute significantly to improve economical innovation performance of firms and Indirect Government Subsidy on innovative economic performance is easier to be influenced by industry characteristics, which have important potential policy implications to guide innovation activities for Chinese policy makers as well as for Chinese firms. Industrial characteristics and R&D intensity and Financial incentives and Moderating effect";"Industry specific effects on innovation performance in China";"This research aims to understand how industrial characteristics in Chinese industrial sectors are related to and affect innovation activities. Using Heckman's two-step procedure, this study contributes to examine firms' innovation determinants with a framework that clearly distinguishes between the two steps of innovation model innovation propensity (probability of being innovative) and innovation performance (patents and innovation sales). In particular, the moderating effects of industrial characteristics on the relationships between R&D intensity, financial incentives and innovation performance are discussed. The findings show that different industrial characteristics generate different impacts on innovation propensity and innovation performance. Firms in capital intensive industries and relative monopoly industries are more likely to innovate. The findings also show that Direct Government Subsidy does not contribute significantly to improve economical innovation performance of firms and Indirect Government Subsidy on innovative economic performance is easier to be influenced by industry characteristics, which have important potential policy implications to guide innovation activities for Chinese policy makers as well as for Chinese firms.";"Industrial characteristics and R&D intensity and Financial incentives and Moderating effect";"";"JOUR";"Guan, JianCheng and Pang, Lanxin";"";"China Economic Review";"2017";"44";"";"125";"137";"10.1016/j.chieco.2017.03.013";"";"../../data/raw_data/sciencedirect_economic_financial_performance_patent_propensity.ris"
"3";"Burhan_2017_TecForandSocCha";"The process of innovation is crucial and essential part of economic growth. Public funded research organizations (PFROs) are believed to be an integral part of National Innovation Systems (NIS) and therefore form an important part of research focused on developing and enhancing national innovation capacities. PFROs have witnessed substantial changes in terms of increased patent filing over the years. Patenting rates and patent propensity have long been used as a well-grounded proxy for measuring technological innovations in the literature. Variant patent filing motives of researchers may reflect a fundamental weakness in use of patents for measuring innovations. Transition economies like India, with characteristics which may differ from those of heavily studied advanced western economies, are the focus of this study. Data were collected from 43 PFROs in India during the period 20052010. This study examined the patent filing behavior in PFROs by analyzing various motives that drive the patent filing of its researchers. Negative Binomial Regression Models were constructed to explain whether these patent filing motives impact patent portfolios in PFROs. We observed that only few of them strengthen the patent portfolios. The results connote the significance of taking granted patents, rather than filed patents, as a proxy for measure innovations in PFROs. Based on our results we also derive some policy and decision-making implications for public research particularly in the context of transition economies. Innovations and National Innovation System and National Innovation Capability and Patents and Public funded research organizations and Intellectual property rights and Emerging economies and Patent filing behavior and R&D";"Patents as proxy for measuring innovations A case of changing patent filing behavior in Indian public funded research organizations";"The process of innovation is crucial and essential part of economic growth. Public funded research organizations (PFROs) are believed to be an integral part of National Innovation Systems (NIS) and therefore form an important part of research focused on developing and enhancing national innovation capacities. PFROs have witnessed substantial changes in terms of increased patent filing over the years. Patenting rates and patent propensity have long been used as a well-grounded proxy for measuring technological innovations in the literature. Variant patent filing motives of researchers may reflect a fundamental weakness in use of patents for measuring innovations. Transition economies like India, with characteristics which may differ from those of heavily studied advanced western economies, are the focus of this study. Data were collected from 43 PFROs in India during the period 20052010. This study examined the patent filing behavior in PFROs by analyzing various motives that drive the patent filing of its researchers. Negative Binomial Regression Models were constructed to explain whether these patent filing motives impact patent portfolios in PFROs. We observed that only few of them strengthen the patent portfolios. The results connote the significance of taking granted patents, rather than filed patents, as a proxy for measure innovations in PFROs. Based on our results we also derive some policy and decision-making implications for public research particularly in the context of transition economies.";"Innovations and National Innovation System and National Innovation Capability and Patents and Public funded research organizations and Intellectual property rights and Emerging economies and Patent filing behavior and R&D";"";"JOUR";"Burhan, Muqbil and Singh, Anil K. and Jain, Sudhir K.";"";"Technological Forecasting and Social Change";"2017";"123";NA;"181";"190";"10.1016/j.techfore.2016.04.002";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
"4";"de.Saint.Georges_2013_ResePoli";"This paper presents a quality index for patent systems. The index is composed of nine operational design components that shape the transparency and stringency of patent systems and affect the extent to which they comply with patentability conditions. Seven components are related to rules and regulations (e.g., grace period, opposition process and continuation-in-parts), while two components measure patent offices resource allocation policy (i.e., workload per examiner and incentives). The index is computed for 32 national patent systems, and displays a high degree of heterogeneity across countries. Cross-sectional quantitative analyses suggest that the demand for patent rights is lower in patent systems with a higher quality index, controlling for research efforts, patent fees and the strength of enforcement mechanisms. These results have important policy and research (metrics) implications. Patent system and Quality and Patent propensity and Intellectual property";"A quality index for patent systems";"This paper presents a quality index for patent systems. The index is composed of nine operational design components that shape the transparency and stringency of patent systems and affect the extent to which they comply with patentability conditions. Seven components are related to rules and regulations (e.g., grace period, opposition process and continuation-in-parts), while two components measure patent offices resource allocation policy (i.e., workload per examiner and incentives). The index is computed for 32 national patent systems, and displays a high degree of heterogeneity across countries. Cross-sectional quantitative analyses suggest that the demand for patent rights is lower in patent systems with a higher quality index, controlling for research efforts, patent fees and the strength of enforcement mechanisms. These results have important policy and research (metrics) implications.";"Patent system and Quality and Patent propensity and Intellectual property";"";"JOUR";"de Saint-Georges, Matthis and van Pottelsberghe de la Potterie, Bruno";"";"Research Policy";"2013";"42";"3";"704";"719";"10.1016/j.respol.2012.09.003";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
"5";"de.Rassenfosse_2013_ResePoli";"This paper presents evidence that firms face a trade-off between the quantity and the quality of their research output. The econometric analysis uses survey data on patent applicants at the European Patent Office and addresses the identification problem caused by differences in firms propensity to patent. The existence of a trade-off emphasizes the need to take the quality of research output into account when assessing research productivity. It also raises questions about the optimal quantityquality mix that firms should target. Innovation performance and Invention quality and Invention quantity and Patent explosion and Propensity to patent and Research productivity";"Do firms face a trade-off between the quantity and the quality of their inventions?";"This paper presents evidence that firms face a trade-off between the quantity and the quality of their research output. The econometric analysis uses survey data on patent applicants at the European Patent Office and addresses the identification problem caused by differences in firms propensity to patent. The existence of a trade-off emphasizes the need to take the quality of research output into account when assessing research productivity. It also raises questions about the optimal quantityquality mix that firms should target.";"Innovation performance and Invention quality and Invention quantity and Patent explosion and Propensity to patent and Research productivity";"";"JOUR";"de Rassenfosse, Gatan";"";"Research Policy";"2013";"42";"5";"1072";"1079";"10.1016/j.respol.2013.02.005";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
"6";"Li_2012_ResePoli";"This paper examines a number of forces that have possibly contributed to the explosive growth of Chinese patenting over the past decade. After a review of previous hypotheses and conventional wisdom, this study proposes an additional explanation and argues that patent subsidy programs implemented by each provincial region have played an important role in the growth of Chinese patenting. This institutional change, taking place at the province-level, has induced an increase in patent propensity among not only firms, universities, and research institutes, but also individuals. Empirical evidence based on publicly available data provides solid support for this argument. It was also found that a larger fraction of applications are granted patent rights since the implementation of such programs, suggesting that reduction in patent application quality may not be a serious concern, unless the criteria used for patent examination have been lowered. Patent and Patent subsidy and Intellectual property right and Institution and Regional innovation system";"Behind the recent surge of Chinese patenting An institutional view";"This paper examines a number of forces that have possibly contributed to the explosive growth of Chinese patenting over the past decade. After a review of previous hypotheses and conventional wisdom, this study proposes an additional explanation and argues that patent subsidy programs implemented by each provincial region have played an important role in the growth of Chinese patenting. This institutional change, taking place at the province-level, has induced an increase in patent propensity among not only firms, universities, and research institutes, but also individuals. Empirical evidence based on publicly available data provides solid support for this argument. It was also found that a larger fraction of applications are granted patent rights since the implementation of such programs, suggesting that reduction in patent application quality may not be a serious concern, unless the criteria used for patent examination have been lowered.";"Patent and Patent subsidy and Intellectual property right and Institution and Regional innovation system";"";"JOUR";"Li, Xibao";"";"Research Policy";"2012";"41";"1";"236";"249";"10.1016/j.respol.2011.07.003";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
"7";"Stek_2016_TecForandSocCha";"International research interactions, specifically interpersonal collaboration, institutional collaboration and within multinational corporation (MNC) collaboration, have been increasing since the 2000s as a result of globalization and rising technological complexity. Yet the impact of international research interactions (IRIs) on national innovation performance is ambiguous. In this study patent-based bibliometric indicators are developed to investigate the influence of different types of IRI on innovation performance using bibliometric data covering eight knowledge intensive manufacturing sectors and 32 countries during the 20032008 period. This sector-based approach avoids some of the problems of using patents as innovation indicators, like varying patenting propensities across sectors by comparing the same sectors across countries. In the study a knowledge production function is estimated for each sector, with patents serving as an indicator of knowledge output. The overall results suggest an absence of positive influence of IRI on innovation performance, and sometimes even a negative influence pointing to reversed knowledge flows. But the pattern is nuanced and differs per sector and type of collaboration. For example, interpersonal collaboration has a negative or no effect on innovation performance depending on the sector, and institutional collaboration has no effect on innovation performance. Within MNC collaboration has a positive influence on innovation performance in the chemicals and pharmaceuticals sectors, but a negative effect or no effect in other sectors. Computers are an exceptional sector in that the influence of IRI depends on the absolute size of the sector in the domestic economy. The paper concludes with the theoretical relevance of these findings and some policy implications are also discussed. Innovation and Research interaction and International and Bibliometric and Patents";"The influence of international research interaction on national innovation performance A bibliometric approach";"International research interactions, specifically interpersonal collaboration, institutional collaboration and within multinational corporation (MNC) collaboration, have been increasing since the 2000s as a result of globalization and rising technological complexity. Yet the impact of international research interactions (IRIs) on national innovation performance is ambiguous. In this study patent-based bibliometric indicators are developed to investigate the influence of different types of IRI on innovation performance using bibliometric data covering eight knowledge intensive manufacturing sectors and 32 countries during the 20032008 period. This sector-based approach avoids some of the problems of using patents as innovation indicators, like varying patenting propensities across sectors by comparing the same sectors across countries. In the study a knowledge production function is estimated for each sector, with patents serving as an indicator of knowledge output. The overall results suggest an absence of positive influence of IRI on innovation performance, and sometimes even a negative influence pointing to reversed knowledge flows. But the pattern is nuanced and differs per sector and type of collaboration. For example, interpersonal collaboration has a negative or no effect on innovation performance depending on the sector, and institutional collaboration has no effect on innovation performance. Within MNC collaboration has a positive influence on innovation performance in the chemicals and pharmaceuticals sectors, but a negative effect or no effect in other sectors. Computers are an exceptional sector in that the influence of IRI depends on the absolute size of the sector in the domestic economy. The paper concludes with the theoretical relevance of these findings and some policy implications are also discussed.";"Innovation and Research interaction and International and Bibliometric and Patents";"";"JOUR";"Stek, Pieter E. and van Geenhuizen, Marina S.";"";"Technological Forecasting and Social Change";"2016";"110";NA;"61";"70";"10.1016/j.techfore.2015.09.017";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
"8";"Arora_2016_ResePoli";"Recent accounts suggest the development and commercialization of invention has become more open. Greater division of labor between inventors and innovators can enhance social welfare through gains from trade and economies of specialization. Moreover, this extensive reliance upon outside sources for invention also suggests that understanding the factors that condition the extramural supply of inventions to innovators is crucial to understanding the determinants of the rate and direction of innovative activity. This paper reports on a recent survey of over 5000 American manufacturing sector firms on the extent to which innovators rely upon external sources of invention. Our results indicate that, between 2007 and 2009, 16% of manufacturing firms had innovatedmeaning had introduced a product that was new to the industry. Of these, 49% report that their most important new product had originated from an outside source, notably customers, suppliers and technology specialists (i.e., universities, independent inventors and R&D contractors). We also compare the contribution of each source to innovation in the US economy. Although customers are the most common outside source, inventions acquired from technology specialists tend to be the more economically significant in term of their gross commercial value. As a group, external sources of invention make a significant contribution to the overall rate of innovation in the economy. Innovation policies, both public and private, should pay careful attention to the external supply of invention, and the efficiency of the mechanisms affecting the relationships between inventors and innovators. Innovation and Division of innovative labor and External sourcing and Technology specialists and Startups and Patent propensity";"The acquisition and commercialization of invention in American manufacturing Incidence and impact";"Recent accounts suggest the development and commercialization of invention has become more open. Greater division of labor between inventors and innovators can enhance social welfare through gains from trade and economies of specialization. Moreover, this extensive reliance upon outside sources for invention also suggests that understanding the factors that condition the extramural supply of inventions to innovators is crucial to understanding the determinants of the rate and direction of innovative activity. This paper reports on a recent survey of over 5000 American manufacturing sector firms on the extent to which innovators rely upon external sources of invention. Our results indicate that, between 2007 and 2009, 16% of manufacturing firms had innovatedmeaning had introduced a product that was new to the industry. Of these, 49% report that their most important new product had originated from an outside source, notably customers, suppliers and technology specialists (i.e., universities, independent inventors and R&D contractors). We also compare the contribution of each source to innovation in the US economy. Although customers are the most common outside source, inventions acquired from technology specialists tend to be the more economically significant in term of their gross commercial value. As a group, external sources of invention make a significant contribution to the overall rate of innovation in the economy. Innovation policies, both public and private, should pay careful attention to the external supply of invention, and the efficiency of the mechanisms affecting the relationships between inventors and innovators.";"Innovation and Division of innovative labor and External sourcing and Technology specialists and Startups and Patent propensity";"";"JOUR";"Arora, Ashish and Cohen, Wesley M. and Walsh, John P.";"";"Research Policy";"2016";"45";"6";"1113";"1128";"10.1016/j.respol.2016.02.005";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
"9";"Sternitzke_2013_ResePoli";"Firms pursue a number of strategies to appropriate value, including patenting. In this paper I study patent fencing, a specific filing strategy to use multiple related patents to further enhance value appropriation. The paper addresses the pharmaceutical industry, which shows a high patenting propensity and strong lifecycle management activities leading to additional patent filings per drug. Building on an inductive case study, this paper explores the mechanisms behind patent fencing within a novel class of drugs. Patents with offensive blocking potential are primarily filed in the a later stage of the lifecycle and are tied to certain categories of patents with a low potential to substitute prior filings economically, while filing of patents with defensive blocking potential occurs more often in the early lifecycle stage. Finally, a model is developed on patent fencing in pharmaceuticals that builds on these patents characteristics. Patent fencing and Drug lifecycle management and Blocking and Complementary patents and Substitutive patents";"An exploratory analysis of patent fencing in pharmaceuticals The case of PDE5 inhibitors";"Firms pursue a number of strategies to appropriate value, including patenting. In this paper I study patent fencing, a specific filing strategy to use multiple related patents to further enhance value appropriation. The paper addresses the pharmaceutical industry, which shows a high patenting propensity and strong lifecycle management activities leading to additional patent filings per drug. Building on an inductive case study, this paper explores the mechanisms behind patent fencing within a novel class of drugs. Patents with offensive blocking potential are primarily filed in the a later stage of the lifecycle and are tied to certain categories of patents with a low potential to substitute prior filings economically, while filing of patents with defensive blocking potential occurs more often in the early lifecycle stage. Finally, a model is developed on patent fencing in pharmaceuticals that builds on these patents characteristics.";"Patent fencing and Drug lifecycle management and Blocking and Complementary patents and Substitutive patents";"";"JOUR";"Sternitzke, Christian";"";"Research Policy";"2013";"42";"2";"542";"551";"10.1016/j.respol.2012.11.003";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
"10";"Blazsek_2016_JoofEc";"In this article, dynamic interactions among stock return, Research and Development (R&D) investment, patent applications and patent propensity of firms are studied. Patent innovation leader and follower firms are identified with respect to their quality-adjusted knowledge stock. Significant and positive dynamic spillover effects are obtained in a panel vector autoregressive model. We find positive dynamic spillover effects from patent innovation leader to followers. We show that an increasing degree of competition enhances innovation and patent applications, which helps firms appropriating part of the benefits of their R&D investments. Patent propensity and Competition and Innovation leaders and Panel vector autoregression and Simulated maximum likelihood";"Patent propensity, R&D and market competition Dynamic spillovers of innovation leaders and followers";"In this article, dynamic interactions among stock return, Research and Development (R&D) investment, patent applications and patent propensity of firms are studied. Patent innovation leader and follower firms are identified with respect to their quality-adjusted knowledge stock. Significant and positive dynamic spillover effects are obtained in a panel vector autoregressive model. We find positive dynamic spillover effects from patent innovation leader to followers. We show that an increasing degree of competition enhances innovation and patent applications, which helps firms appropriating part of the benefits of their R&D investments.";"Patent propensity and Competition and Innovation leaders and Panel vector autoregression and Simulated maximum likelihood";"";"JOUR";"Blazsek, Szabolcs and Escribano, Alvaro";"";"Journal of Econometrics";"2016";"191";"1";"145";"163";"10.1016/j.jeconom.2015.10.005";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
"11";"Prez.Luo_2011_JoofEnanTeMa";"This paper examines whether the combined effects of R&D efforts and the types of knowledge obtained from the invention process determine patent propensity. With this aim, we investigate a unique, manually collected sample of firms and the Spanish and European Patent Offices to analyze how the combination of R&D and knowledge codifiability, observability and simplicity influence the patent decision. Our results contribute to the literature and assist R&D managers by showing that codified knowledge has a positive impact on patent propensity. Furthermore, we find that knowledge observability and simplicity only influence patent propensity when they are combined with internal R&D expenditures. Patenting and Knowledge and R&D and Competitiveness";"How does the combination of R&D and types of knowledge matter for patent propensity?";"This paper examines whether the combined effects of R&D efforts and the types of knowledge obtained from the invention process determine patent propensity. With this aim, we investigate a unique, manually collected sample of firms and the Spanish and European Patent Offices to analyze how the combination of R&D and knowledge codifiability, observability and simplicity influence the patent decision. Our results contribute to the literature and assist R&D managers by showing that codified knowledge has a positive impact on patent propensity. Furthermore, we find that knowledge observability and simplicity only influence patent propensity when they are combined with internal R&D expenditures.";"Patenting and Knowledge and R&D and Competitiveness";"";"JOUR";"Prez-Luo, Ana and Valle-Cabrera, Ramn";"";"Journal of Engineering and Technology Management";"2011";"28";"1";"33";"48";"10.1016/j.jengtecman.2010.12.003";"";"../../data/raw_data/sciencedirect_patent_propensity.ris"
